"uid","gene_name","alias","desc"
NA,".",NA,NA
"100777107","LOC100777107","GLYMA_06G300200","transcription factor MYB14"
NA,".",NA,NA
"100815760","LOC100815760","GLYMA_05G215900","probable WRKY transcription factor 41"
"100794321","LOC100794321","GLYMA_06G020800","uncharacterized protein At1g76070"
"778087","LOC778087","GLYMA_06G300100, MYB117","transcription factor MYB30"
"100780605","LOC100780605","GLYMA_11G062600, CYP71D8","cytochrome P450 71D8"
"100802250","LOC100802250","GLYMA_12G054100","cyanogenic beta-glucosidase"
"850504","CHS1","YFL039C, ABY1, END7","actin"
"100306170","LOC100306170","GLYMA_10G230600","heavy-metal-associated domain-containing protein"
"838505","WRKY27","AT1G19220, ARF11, AUXIN RESPONSE FACTOR11, IAA22, T29M8.9, T29M8_9, auxin response factor 19, indole-3-acetic acid inducible 22","auxin response factor 19"
"100811478","LOC100811478","GLYMA_05G119200","DnaJ domain-containing protein"
NA,".",NA,NA
"100776708","LOC100776708","GLYMA_11G129700","cyanogenic beta-glucosidase"
"121175284","LOC121175284","GLYMA_08G110901v4","chalcone synthase 1"
"100783984","LOC100783984","GLYMA_02G128800","uncharacterized LOC100783984"
"852457","CHS3","YBR160W, CDK1, HSL5, SRM5","cyclin-dependent serine/threonine-protein kinase CDC28"
"100527189","LOC100527189","GLYMA_02G054900","uncharacterized LOC100527189"
"100777247","LOC100777247","GLYMA_11G129800","cyanogenic beta-glucosidase"
"100306332","LOC100306332","GLYMA_11G038600","uncharacterized LOC100306332"
"100804277","LOC100804277","","protein ALP1-like"
"100784723","LOC100784723","GLYMA_11G129500","cyanogenic beta-glucosidase"
"100500558","LOC100500558","GLYMA_11G124700","uncharacterized LOC100500558"
"41640","41640","Dmel_CG8790, BcDNA:GH02431, CG8790, DmDic1p, Dmel\CG8790","Dicarboxylate carrier 1"
"100301896","G4DT","GLYMA_10G295300, GmPT10a, Gma.5621, PT2","Glycinol 4-dimethylallyltransferase"
"102666898","LOC102666898","GLYMA_03G042700","probable WRKY transcription factor 33"
"100798546","CYP82A2","GLYMA_13G285300","cytochrome P450 82A2-like"
NA,".",NA,NA
NA,".",NA,NA
"113001461","LOC113001461","GLYMA_04G228900","uncharacterized LOC113001461"
"842733","WRKY46","AT1G64280, ARABIDOPSIS NONEXPRESSER OF PR GENES 1, ATNPR1, F15H21.6, F15H21_6, NIM1, NON-INDUCIBLE IMMUNITY 1, NONEXPRESSER OF PR GENES 1, REGULATORY PROTEIN NPR1, SAI1, SALICYLIC ACID INSENSITIVE 1","regulatory protein (NPR1)"
"106794108","LOC106794108","GLYMA_12G054000","cyanogenic beta-glucosidase"
"100776038","SCTF-1","GLYMA_06G045400","zinc finger protein ZAT10"
"100800709","LOC100800709","GLYMA_01G204400","protein TIFY 10a"
"100777773","LOC100777773","GLYMA_11G129900","cyanogenic beta-glucosidase"
"100802714","LOC100802714","GLYMA_02G210300","uncharacterized LOC100802714"
"100500506","LOC100500506","GLYMA_17G029900v4","SRPBCC ligand-binding domain-containing protein"
"100801449","LOC100801449","GLYMA_09G071600","protein TIFY 10A-like"
"100813623","LOC100813623","GLYMA_12G130200","cyanogenic beta-glucosidase"
NA,".",NA,NA
NA,".",NA,NA
